permit_nbr,area,zip_code,community_plan_area,hillside,use_desc,submitted_date,issue_date,cofo_date,status,status_desc,status_date,construction_type,construction_class,square_footage,valuation_usd,height_ft,wildfire_rebuild,primary_address,lat,lon
25010-30000-00157,Bel Air / Beverly Crest,90077,Bel Air - Beverly Crest,yes,Accessory Living Quarters,2025-01-14,,,In plan check,Verifications in Progress,2025-03-12,Type V-B Construction,Type V (wood-frame),177.0,5000.0,,no,1492 N STONE CANYON ROAD,34.1005,-118.4542
25010-30000-00158,Bel Air / Beverly Crest,90077,Bel Air - Beverly Crest,yes,,2025-01-14,,,In plan check,Verifications in Progress,2025-03-12,,Not stated,,10000.0,,no,1492 N STONE CANYON ROAD,34.1005,-118.4542
25010-30000-00159,Bel Air / Beverly Crest,90077,Bel Air - Beverly Crest,yes,Accessory Dwelling Unit,2025-01-14,,,In plan check,Verifications in Progress,2025-03-12,Type V-B Construction,Type V (wood-frame),834.0,85000.0,,no,1492 N STONE CANYON ROAD,34.1005,-118.4542
25010-10000-00167,Encino / Tarzana,91316,Encino - Tarzana,no,Dwelling - Single Family,2025-01-15,2025-02-26,2025-08-29,Completed (CofO / finaled),CofO Issued,2025-08-29,Type V-B Construction,Type V (wood-frame),1498.5,144127.0,23.4,no,17457 W BULLOCK ST,34.1798,-118.5138
25010-30000-00168,Pacific Palisades,90272,Brentwood - Pacific Palisades,yes,Dwelling - Single Family,2025-01-15,2025-10-16,,Issued (under construction),Issued,2025-10-16,Type V-B Construction,Type V (wood-frame),3792.0,380265.0,28.0,yes,668 N JACON WAY,34.0491,-118.547
25020-30000-00072,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Patio Cover,2025-01-16,2026-05-06,,Issued (under construction),Issued,2026-05-06,Type V-B Construction,Type V (wood-frame),,15000.0,9.83,no,1558 N TOWER GROVE DR,34.0988,-118.4258
25010-20000-00265,Encino / Tarzana,91316,Encino - Tarzana,yes,Patio Cover,2025-01-21,2025-09-05,,Issued (under construction),Issued,2025-09-05,Type V-B Construction,Type V (wood-frame),394.0,68000.0,15.75,no,18060 W RANCHO ST,34.1562,-118.5272
25010-20000-01723,Bel Air / Beverly Crest,90077,Bel Air - Beverly Crest,yes,Recreation Room,2025-01-21,2025-05-13,,Issued (under construction),Issued,2025-05-13,Type V-B Construction,Type V (wood-frame),67.0,7500.0,12.17,no,1641 N STRADELLA ROAD,34.1011,-118.4602
25010-30000-00246,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Dwelling - Single Family,2025-01-21,,,In plan check,Verifications in Progress,2025-04-30,Type V-B Construction,Type V (wood-frame),,7000000.0,,no,50 W BEVERLY PARK WAY,34.1193,-118.4185
25010-30000-00248,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Accessory Dwelling Unit,2025-01-21,,,In plan check,Verifications in Progress,2025-04-30,Type V-B Construction,Type V (wood-frame),,195000.0,,no,50 1/2 W BEVERLY PARK WAY,34.1189,-118.4183
25010-30000-00249,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Recreation Room,2025-01-21,,,In plan check,Verifications in Progress,2025-04-30,Type V-B Construction,Type V (wood-frame),,210000.0,,no,50 W BEVERLY PARK WAY,34.1193,-118.4185
25010-30000-00260,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Dwelling - Single Family,2025-01-21,,,In plan check,Quality Review Completed,2025-02-04,Type V-B Construction,Type V (wood-frame),14615.0,1900000.0,36.0,no,1695 N CLEAR VIEW DR,34.1035,-118.4342
25010-30000-00261,Bel Air / Beverly Crest,90210,Bel Air - Beverly Crest,yes,Accessory Living Quarters,2025-01-21,,,In plan check,Quality Review Completed,2025-02-04,Type V-B Construction,Type V (wood-frame),2816.0,540000.0,,no,1695 N CLEAR VIEW DR,34.1035,-118.4342
25014-20000-00269,Encino / Tarzana,91316,Encino - Tarzana,yes,Dwelling - Single Family,2025-01-21,2025-09-05,,Issued (under construction),Issued,2025-09-05,Type V-B Construction,Type V (wood-frame),6181.0,687000.0,29.08,no,18058-18060 W RANCHO ST,34.1562,-118.527
25010-10000-00274,Pacific Palisades,90272,Brentwood - Pacific Palisades,no,Dwelling - Single Family,2025-01-22,2025-07-14,2026-09-09,Completed (CofO / finaled),CofO Issued,2026-09-09,Type V-B Construction,Type V (wood-frame),3315.5,358000.0,26.17,yes,954 N EMBURY ST,34.0469,-118.5227
